AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
3*S818 + 4*S816 - Generated by M. Buhl.
Data came from Eppler data that was extended and blended by AirfoilPrep.
   5        Number of airfoil tables in this file
   1.0      Reynolds numbers in millions
   0.0      Control setting
  11.00     Stall angle (deg)
  -4.1521   Zero Cn angle of attack (deg)
   5.8497   Cn slope for zero lift (dimensionless)
   1.5470   Cn extrapolated to value at positive stall angle of attack
  -0.8308   Cn at stall value for negative angle of attack
  -3.00     Angle of attack for minimum CD (deg)
   0.0079   Minimum CD value
-180.00    0.000   0.0100
-170.00    0.886   0.0225
-160.00    0.753   0.1819
-150.00    0.751   0.4264
-140.00    0.749   0.7265
-130.00    0.699   1.0465
-120.00    0.590   1.3481
-110.00    0.426   1.5953
-100.00    0.222   1.7588
 -90.00    0.000   1.8194
 -80.00   -0.222   1.7588
 -70.00   -0.426   1.5953
 -60.00   -0.590   1.3481
 -50.00   -0.699   1.0465
 -40.00   -0.749   0.7265
 -30.00   -0.751   0.4264
 -20.00   -0.753   0.1819
 -10.00   -0.839   0.0259
  -6.00   -0.215   0.0128
  -5.00   -0.101   0.0110
  -4.00    0.013   0.0093
  -3.00    0.102   0.0079
  -2.00    0.211   0.0079
  -1.00    0.320   0.0080
   0.00    0.429   0.0080
   1.00    0.536   0.0081
   2.00    0.643   0.0083
   3.00    0.749   0.0084
   4.00    0.855   0.0087
   5.00    0.960   0.0089
   6.00    1.065   0.0092
   7.00    1.137   0.0132
   8.00    1.229   0.0147
   9.00    1.317   0.0159
  10.00    1.299   0.0262
  11.00    1.320   0.0365
  12.00    1.292   0.0527
  13.00    1.265   0.0688
  20.00    1.076   0.1819
  30.00    1.073   0.4264
  40.00    1.070   0.7265
  50.00    0.998   1.0465
  60.00    0.843   1.3481
  70.00    0.608   1.5953
  80.00    0.317   1.7588
  90.00    0.000   1.8194
 100.00   -0.222   1.7588
 110.00   -0.426   1.5953
 120.00   -0.590   1.3481
 130.00   -0.699   1.0465
 140.00   -0.749   0.7265
 150.00   -0.751   0.4264
 160.00   -0.753   0.1819
 170.00   -0.886   0.0225
 180.00    0.000   0.0100
EOT
   2.0      Reynolds numbers in millions
   0.0      Control setting
  12.00     Stall angle (deg)
  -4.2932   Zero Cn angle of attack (deg)
   5.6529   Cn slope for zero lift (dimensionless)
   1.6075   Cn extrapolated to value at positive stall angle of attack
  -0.7861   Cn at stall value for negative angle of attack
  -3.00     Angle of attack for minimum CD (deg)
   0.0077   Minimum CD value
-180.00    0.000   0.0100
-170.00    0.869   0.0176
-160.00    0.780   0.1772
-150.00    0.767   0.4220
-140.00    0.758   0.7227
-130.00    0.705   1.0433
-120.00    0.593   1.3456
-110.00    0.427   1.5936
-100.00    0.222   1.7580
 -90.00    0.000   1.8194
 -80.00   -0.222   1.7580
 -70.00   -0.427   1.5936
 -60.00   -0.593   1.3456
 -50.00   -0.705   1.0433
 -40.00   -0.758   0.7227
 -30.00   -0.767   0.4220
 -20.00   -0.780   0.1772
 -10.00   -0.794   0.0251
  -6.00   -0.215   0.0126
  -5.00   -0.101   0.0109
  -4.00    0.014   0.0091
  -3.00    0.102   0.0077
  -2.00    0.212   0.0077
  -1.00    0.320   0.0077
   0.00    0.429   0.0078
   1.00    0.537   0.0079
   2.00    0.644   0.0081
   3.00    0.751   0.0082
   4.00    0.857   0.0084
   5.00    0.962   0.0086
   6.00    1.067   0.0089
   7.00    1.138   0.0129
   8.00    1.231   0.0144
   9.00    1.318   0.0156
  10.00    1.302   0.0256
  11.00    1.328   0.0360
  12.00    1.344   0.0461
  13.00    1.315   0.0625
  20.00    1.115   0.1772
  30.00    1.096   0.4220
  40.00    1.083   0.7227
  50.00    1.007   1.0433
  60.00    0.847   1.3456
  70.00    0.610   1.5936
  80.00    0.317   1.7580
  90.00    0.000   1.8194
 100.00   -0.222   1.7580
 110.00   -0.427   1.5936
 120.00   -0.593   1.3456
 130.00   -0.705   1.0433
 140.00   -0.758   0.7227
 150.00   -0.767   0.4220
 160.00   -0.780   0.1772
 170.00   -0.869   0.0176
 180.00    0.000   0.0100
EOT
   3.0      Reynolds numbers in millions
   0.0      Control setting
  12.00     Stall angle (deg)
  -4.3114   Zero Cn angle of attack (deg)
   5.6455   Cn slope for zero lift (dimensionless)
   1.6072   Cn extrapolated to value at positive stall angle of attack
  -0.7912   Cn at stall value for negative angle of attack
  -2.00     Angle of attack for minimum CD (deg)
   0.0074   Minimum CD value
-180.00    0.000   0.0100
-170.00    0.876   0.0167
-160.00    0.785   0.1765
-150.00    0.770   0.4213
-140.00    0.760   0.7221
-130.00    0.706   1.0428
-120.00    0.593   1.3452
-110.00    0.427   1.5933
-100.00    0.222   1.7578
 -90.00    0.000   1.8194
 -80.00   -0.222   1.7578
 -70.00   -0.427   1.5933
 -60.00   -0.593   1.3452
 -50.00   -0.706   1.0428
 -40.00   -0.760   0.7221
 -30.00   -0.770   0.4213
 -20.00   -0.785   0.1765
 -10.00   -0.799   0.0245
  -6.00   -0.214   0.0124
  -5.00   -0.099   0.0107
  -4.00    0.015   0.0088
  -3.00    0.104   0.0075
  -2.00    0.213   0.0074
  -1.00    0.322   0.0074
   0.00    0.431   0.0075
   1.00    0.538   0.0076
   2.00    0.645   0.0078
   3.00    0.752   0.0079
   4.00    0.858   0.0081
   5.00    0.963   0.0083
   6.00    1.068   0.0086
   7.00    1.140   0.0126
   8.00    1.233   0.0140
   9.00    1.307   0.0177
  10.00    1.307   0.0250
  11.00    1.334   0.0352
  12.00    1.356   0.0453
  13.00    1.326   0.0617
  20.00    1.121   0.1765
  30.00    1.100   0.4213
  40.00    1.086   0.7221
  50.00    1.008   1.0428
  60.00    0.848   1.3452
  70.00    0.611   1.5933
  80.00    0.318   1.7578
  90.00    0.000   1.8194
 100.00   -0.222   1.7578
 110.00   -0.427   1.5933
 120.00   -0.593   1.3452
 130.00   -0.706   1.0428
 140.00   -0.760   0.7221
 150.00   -0.770   0.4213
 160.00   -0.785   0.1765
 170.00   -0.876   0.0167
 180.00    0.000   0.0100
EOT
   4.0      Reynolds numbers in millions
   0.0      Control setting
  13.00     Stall angle (deg)
  -4.3291   Zero Cn angle of attack (deg)
   5.6295   Cn slope for zero lift (dimensionless)
   1.7026   Cn extrapolated to value at positive stall angle of attack
  -0.8133   Cn at stall value for negative angle of attack
  -1.00     Angle of attack for minimum CD (deg)
   0.0072   Minimum CD value
-180.00    0.000   0.0100
-170.00    0.916   0.0149
-160.00    0.839   0.1664
-150.00    0.801   0.4120
-140.00    0.779   0.7138
-130.00    0.717   1.0359
-120.00    0.599   1.3398
-110.00    0.430   1.5897
-100.00    0.223   1.7560
 -90.00    0.000   1.8194
 -80.00   -0.223   1.7560
 -70.00   -0.430   1.5897
 -60.00   -0.599   1.3398
 -50.00   -0.717   1.0359
 -40.00   -0.779   0.7138
 -30.00   -0.801   0.4120
 -20.00   -0.839   0.1664
 -10.00   -0.823   0.0187
  -6.00   -0.234   0.0104
  -5.00   -0.110   0.0095
  -4.00    0.014   0.0085
  -3.00    0.104   0.0072
  -2.00    0.213   0.0072
  -1.00    0.322   0.0072
   0.00    0.431   0.0072
   1.00    0.540   0.0074
   2.00    0.647   0.0075
   3.00    0.754   0.0076
   4.00    0.860   0.0078
   5.00    0.965   0.0081
   6.00    1.071   0.0083
   7.00    1.144   0.0122
   8.00    1.239   0.0134
   9.00    1.316   0.0171
  10.00    1.395   0.0192
  11.00    1.417   0.0294
  12.00    1.437   0.0396
  13.00    1.443   0.0498
  20.00    1.198   0.1664
  30.00    1.144   0.4120
  40.00    1.113   0.7138
  50.00    1.024   1.0359
  60.00    0.856   1.3398
  70.00    0.614   1.5897
  80.00    0.318   1.7560
  90.00    0.000   1.8194
 100.00   -0.223   1.7560
 110.00   -0.430   1.5897
 120.00   -0.599   1.3398
 130.00   -0.717   1.0359
 140.00   -0.779   0.7138
 150.00   -0.801   0.4120
 160.00   -0.839   0.1664
