AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
5*S818 + 2*S816 - Generated by M. Buhl.
Data came from Eppler data that was extended and blended by AirfoilPrep.
   5        Number of airfoil tables in this file
   1.0      Reynolds numbers in millions
   0.0      Control setting
  11.00     Stall angle (deg)
  -4.6882   Zero Cn angle of attack (deg)
   5.9374   Cn slope for zero lift (dimensionless)
   1.6257   Cn extrapolated to value at positive stall angle of attack
  -0.8672   Cn at stall value for negative angle of attack
  -3.00     Angle of attack for minimum CD (deg)
   0.0087   Minimum CD value
-180.00    0.000   0.0100
-170.00    0.955   0.0187
-160.00    0.806   0.1770
-150.00    0.779   0.4198
-140.00    0.764   0.7180
-130.00    0.706   1.0359
-120.00    0.592   1.3357
-110.00    0.425   1.5815
-100.00    0.221   1.7444
 -90.00    0.000   1.8051
 -80.00   -0.221   1.7444
 -70.00   -0.425   1.5815
 -60.00   -0.592   1.3357
 -50.00   -0.706   1.0359
 -40.00   -0.764   0.7180
 -30.00   -0.779   0.4198
 -20.00   -0.806   0.1770
 -10.00   -0.876   0.0243
  -6.00   -0.155   0.0110
  -5.00   -0.043   0.0101
  -4.00    0.068   0.0094
  -3.00    0.166   0.0087
  -2.00    0.274   0.0089
  -1.00    0.382   0.0089
   0.00    0.490   0.0091
   1.00    0.597   0.0092
   2.00    0.704   0.0094
   3.00    0.810   0.0096
   4.00    0.916   0.0098
   5.00    1.021   0.0101
   6.00    1.126   0.0105
   7.00    1.214   0.0128
   8.00    1.311   0.0139
   9.00    1.406   0.0147
  10.00    1.419   0.0248
  11.00    1.464   0.0314
  12.00    1.429   0.0475
  13.00    1.394   0.0637
  20.00    1.151   0.1770
  30.00    1.113   0.4198
  40.00    1.091   0.7180
  50.00    1.008   1.0359
  60.00    0.845   1.3357
  70.00    0.608   1.5815
  80.00    0.315   1.7444
  90.00    0.000   1.8051
 100.00   -0.221   1.7444
 110.00   -0.425   1.5815
 120.00   -0.592   1.3357
 130.00   -0.706   1.0359
 140.00   -0.764   0.7180
 150.00   -0.779   0.4198
 160.00   -0.806   0.1770
 170.00   -0.955   0.0187
 180.00    0.000   0.0100
EOT
   2.0      Reynolds numbers in millions
   0.0      Control setting
  12.00     Stall angle (deg)
  -4.8071   Zero Cn angle of attack (deg)
   5.7969   Cn slope for zero lift (dimensionless)
   1.7004   Cn extrapolated to value at positive stall angle of attack
  -0.7928   Cn at stall value for negative angle of attack
  -3.00     Angle of attack for minimum CD (deg)
   0.0084   Minimum CD value
-180.00    0.000   0.0100
-170.00    0.926   0.0105
-160.00    0.851   0.1692
-150.00    0.806   0.4126
-140.00    0.779   0.7117
-130.00    0.715   1.0306
-120.00    0.597   1.3315
-110.00    0.428   1.5787
-100.00    0.221   1.7429
 -90.00    0.000   1.8051
 -80.00   -0.221   1.7429
 -70.00   -0.428   1.5787
 -60.00   -0.597   1.3315
 -50.00   -0.715   1.0306
 -40.00   -0.779   0.7117
 -30.00   -0.806   0.4126
 -20.00   -0.851   0.1692
 -10.00   -0.801   0.0231
  -6.00   -0.154   0.0108
  -5.00   -0.043   0.0099
  -4.00    0.068   0.0090
  -3.00    0.167   0.0084
  -2.00    0.275   0.0085
  -1.00    0.383   0.0086
   0.00    0.492   0.0086
   1.00    0.599   0.0088
   2.00    0.705   0.0090
   3.00    0.812   0.0091
   4.00    0.918   0.0094
   5.00    1.023   0.0097
   6.00    1.128   0.0101
   7.00    1.216   0.0123
   8.00    1.314   0.0134
   9.00    1.409   0.0142
  10.00    1.425   0.0240
  11.00    1.477   0.0304
  12.00    1.514   0.0367
  13.00    1.477   0.0532
  20.00    1.216   0.1692
  30.00    1.151   0.4126
  40.00    1.114   0.7117
  50.00    1.022   1.0306
  60.00    0.853   1.3315
  70.00    0.611   1.5787
  80.00    0.316   1.7429
  90.00    0.000   1.8051
 100.00   -0.221   1.7429
 110.00   -0.428   1.5787
 120.00   -0.597   1.3315
 130.00   -0.715   1.0306
 140.00   -0.779   0.7117
 150.00   -0.806   0.4126
 160.00   -0.851   0.1692
 170.00   -0.926   0.0105
 180.00    0.000   0.0100
EOT
   3.0      Reynolds numbers in millions
   0.0      Control setting
  12.00     Stall angle (deg)
  -4.8377   Zero Cn angle of attack (deg)
   5.7846   Cn slope for zero lift (dimensionless)
   1.6999   Cn extrapolated to value at positive stall angle of attack
  -0.8013   Cn at stall value for negative angle of attack
  -2.00     Angle of attack for minimum CD (deg)
   0.0080   Minimum CD value
-180.00    0.000   0.0100
-170.00    0.937   0.0091
-160.00    0.859   0.1679
-150.00    0.810   0.4114
-140.00    0.782   0.7106
-130.00    0.717   1.0297
-120.00    0.598   1.3308
-110.00    0.428   1.5782
-100.00    0.221   1.7427
 -90.00    0.000   1.8051
 -80.00   -0.221   1.7427
 -70.00   -0.428   1.5782
 -60.00   -0.598   1.3308
 -50.00   -0.717   1.0297
 -40.00   -0.782   0.7106
 -30.00   -0.810   0.4114
 -20.00   -0.859   0.1679
 -10.00   -0.810   0.0221
  -6.00   -0.152   0.0104
  -5.00   -0.041   0.0096
  -4.00    0.071   0.0087
