AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
6*S818 + 1*S816 - Generated by M. Buhl.
Data came from Eppler data that was extended and blended by AirfoilPrep.
   5        Number of airfoil tables in this file
   1.0      Reynolds numbers in millions
   0.0      Control setting
  11.00     Stall angle (deg)
  -4.9503   Zero Cn angle of attack (deg)
   5.9813   Cn slope for zero lift (dimensionless)
   1.6651   Cn extrapolated to value at positive stall angle of attack
  -0.8855   Cn at stall value for negative angle of attack
  -3.00     Angle of attack for minimum CD (deg)
   0.0092   Minimum CD value
-180.00    0.000   0.0100
-170.00    0.989   0.0168
-160.00    0.832   0.1746
-150.00    0.793   0.4166
-140.00    0.771   0.7138
-130.00    0.709   1.0307
-120.00    0.593   1.3295
-110.00    0.425   1.5747
-100.00    0.220   1.7372
 -90.00    0.000   1.7980
 -80.00   -0.220   1.7372
 -70.00   -0.425   1.5747
 -60.00   -0.593   1.3295
 -50.00   -0.709   1.0307
 -40.00   -0.771   0.7138
 -30.00   -0.793   0.4166
 -20.00   -0.832   0.1746
 -10.00   -0.895   0.0236
  -6.00   -0.124   0.0101
  -5.00   -0.015   0.0097
  -4.00    0.095   0.0094
  -3.00    0.198   0.0092
  -2.00    0.305   0.0093
  -1.00    0.414   0.0094
   0.00    0.521   0.0096
   1.00    0.627   0.0097
   2.00    0.734   0.0100
   3.00    0.841   0.0101
   4.00    0.947   0.0104
   5.00    1.052   0.0108
   6.00    1.157   0.0111
   7.00    1.252   0.0126
   8.00    1.353   0.0134
   9.00    1.451   0.0142
  10.00    1.479   0.0242
  11.00    1.536   0.0288
  12.00    1.497   0.0450
  13.00    1.459   0.0612
  20.00    1.189   0.1746
  30.00    1.133   0.4166
  40.00    1.101   0.7138
  50.00    1.013   1.0307
  60.00    0.847   1.3295
  70.00    0.607   1.5747
  80.00    0.315   1.7372
  90.00    0.000   1.7980
 100.00   -0.220   1.7372
 110.00   -0.425   1.5747
 120.00   -0.593   1.3295
 130.00   -0.709   1.0307
 140.00   -0.771   0.7138
 150.00   -0.793   0.4166
 160.00   -0.832   0.1746
 170.00   -0.989   0.0168
 180.00    0.000   0.0100
EOT
   2.0      Reynolds numbers in millions
   0.0      Control setting
  12.00     Stall angle (deg)
  -5.0545   Zero Cn angle of attack (deg)
   5.8689   Cn slope for zero lift (dimensionless)
   1.7469   Cn extrapolated to value at positive stall angle of attack
  -0.7961   Cn at stall value for negative angle of attack
  -3.00     Angle of attack for minimum CD (deg)
   0.0087   Minimum CD value
-180.00    0.000   0.0100
-170.00    0.954   0.0070
-160.00    0.886   0.1652
-150.00    0.825   0.4080
-140.00    0.790   0.7061
-130.00    0.720   1.0243
-120.00    0.599   1.3245
-110.00    0.428   1.5713
-100.00    0.221   1.7354
 -90.00    0.000   1.7980
 -80.00   -0.221   1.7354
 -70.00   -0.428   1.5713
 -60.00   -0.599   1.3245
 -50.00   -0.720   1.0243
 -40.00   -0.790   0.7061
 -30.00   -0.825   0.4080
 -20.00   -0.886   0.1652
 -10.00   -0.804   0.0221
  -6.00   -0.123   0.0098
  -5.00   -0.014   0.0095
  -4.00    0.096   0.0090
  -3.00    0.199   0.0087
  -2.00    0.307   0.0089
  -1.00    0.415   0.0090
   0.00    0.523   0.0091
   1.00    0.630   0.0093
   2.00    0.736   0.0094
   3.00    0.843   0.0096
   4.00    0.949   0.0099
   5.00    1.054   0.0103
   6.00    1.159   0.0106
   7.00    1.255   0.0120
   8.00    1.356   0.0128
   9.00    1.455   0.0136
  10.00    1.486   0.0231
  11.00    1.552   0.0277
  12.00    1.600   0.0319
  13.00    1.558   0.0486
  20.00    1.266   0.1652
  30.00    1.178   0.4080
  40.00    1.129   0.7061
  50.00    1.029   1.0243
  60.00    0.856   1.3245
  70.00    0.611   1.5713
  80.00    0.316   1.7354
  90.00    0.000   1.7980
 100.00   -0.221   1.7354
 110.00   -0.428   1.5713
 120.00   -0.599   1.3245
 130.00   -0.720   1.0243
 140.00   -0.790   0.7061
 150.00   -0.825   0.4080
 160.00   -0.886   0.1652
 170.00   -0.954   0.0070
 180.00    0.000   0.0100
EOT
   3.0      Reynolds numbers in millions
   0.0      Control setting
  12.00     Stall angle (deg)
  -5.0915   Zero Cn angle of attack (deg)
   5.8541   Cn slope for zero lift (dimensionless)
   1.7463   Cn extrapolated to value at positive stall angle of attack
  -0.8063   Cn at stall value for negative angle of attack
  -2.00     Angle of attack for minimum CD (deg)
   0.0083   Minimum CD value
-180.00    0.000   0.0100
-170.00    0.968   0.0053
-160.00    0.896   0.1637
-150.00    0.830   0.4065
-140.00    0.793   0.7049
-130.00    0.722   1.0232
-120.00    0.600   1.3237
-110.00    0.428   1.5707
-100.00    0.221   1.7351
 -90.00    0.000   1.7980
 -80.00   -0.221   1.7351
 -70.00   -0.428   1.5707
 -60.00   -0.600   1.3237
 -50.00   -0.722   1.0232
 -40.00   -0.793   0.7049
 -30.00   -0.830   0.4065
 -20.00   -0.896   0.1637
 -10.00   -0.815   0.0209
  -6.00   -0.121   0.0094
  -5.00   -0.011   0.0090
  -4.00    0.098   0.0086
  -3.00    0.201   0.0083
  -2.00    0.310   0.0083
  -1.00    0.417   0.0084
   0.00    0.525   0.0085
   1.00    0.633   0.0087
   2.00    0.740   0.0088
   3.00    0.846   0.0090
   4.00    0.952   0.0093
   5.00    1.058   0.0097
   6.00    1.163   0.0100
   7.00    1.259   0.0113
   8.00    1.360   0.0121
   9.00    1.432   0.0178
  10.00    1.495   0.0218
  11.00    1.565   0.0261
  12.00    1.624   0.0303
  13.00    1.581   0.0470
  20.00    1.280   0.1637
  30.00    1.186   0.4065
  40.00    1.133   0.7049
  50.00    1.032   1.0232
  60.00    0.857   1.3237
