AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
4*S818 + 3*S816 - Generated by M. Buhl.
Data came from Eppler data that was extended and blended by AirfoilPrep.
   5        Number of airfoil tables in this file
   1.0      Reynolds numbers in millions
   0.0      Control setting
  11.00     Stall angle (deg)
  -4.4221   Zero Cn angle of attack (deg)
   5.8935   Cn slope for zero lift (dimensionless)
   1.5863   Cn extrapolated to value at positive stall angle of attack
  -0.8490   Cn at stall value for negative angle of attack
  -3.00     Angle of attack for minimum CD (deg)
   0.0083   Minimum CD value
-180.00    0.000   0.0100
-170.00    0.920   0.0206
-160.00    0.779   0.1795
-150.00    0.765   0.4231
-140.00    0.756   0.7223
-130.00    0.702   1.0412
-120.00    0.591   1.3419
-110.00    0.426   1.5884
-100.00    0.221   1.7516
 -90.00    0.000   1.8123
 -80.00   -0.221   1.7516
 -70.00   -0.426   1.5884
 -60.00   -0.591   1.3419
 -50.00   -0.702   1.0412
 -40.00   -0.756   0.7223
 -30.00   -0.765   0.4231
 -20.00   -0.779   0.1795
 -10.00   -0.858   0.0251
  -6.00   -0.185   0.0119
  -5.00   -0.072   0.0106
  -4.00    0.041   0.0093
  -3.00    0.134   0.0083
  -2.00    0.242   0.0084
  -1.00    0.351   0.0084
   0.00    0.459   0.0086
   1.00    0.566   0.0087
   2.00    0.673   0.0089
   3.00    0.780   0.0090
   4.00    0.886   0.0092
   5.00    0.991   0.0095
   6.00    1.096   0.0098
   7.00    1.175   0.0130
   8.00    1.270   0.0143
   9.00    1.361   0.0153
  10.00    1.359   0.0255
  11.00    1.392   0.0339
  12.00    1.361   0.0501
  13.00    1.330   0.0663
  20.00    1.113   0.1795
  30.00    1.093   0.4231
  40.00    1.080   0.7223
  50.00    1.003   1.0412
  60.00    0.844   1.3419
  70.00    0.608   1.5884
  80.00    0.316   1.7516
  90.00    0.000   1.8123
 100.00   -0.221   1.7516
 110.00   -0.426   1.5884
 120.00   -0.591   1.3419
 130.00   -0.702   1.0412
 140.00   -0.756   0.7223
 150.00   -0.765   0.4231
 160.00   -0.779   0.1795
 170.00   -0.920   0.0206
 180.00    0.000   0.0100
EOT
   2.0      Reynolds numbers in millions
   0.0      Control setting
  12.00     Stall angle (deg)
  -4.5534   Zero Cn angle of attack (deg)
   5.7249   Cn slope for zero lift (dimensionless)
   1.6540   Cn extrapolated to value at positive stall angle of attack
  -0.7894   Cn at stall value for negative angle of attack
  -3.00     Angle of attack for minimum CD (deg)
   0.0080   Minimum CD value
-180.00    0.000   0.0100
-170.00    0.897   0.0140
-160.00    0.816   0.1732
-150.00    0.786   0.4173
-140.00    0.769   0.7172
-130.00    0.710   1.0370
-120.00    0.595   1.3386
-110.00    0.427   1.5862
-100.00    0.222   1.7505
 -90.00    0.000   1.8123
 -80.00   -0.222   1.7505
 -70.00   -0.427   1.5862
 -60.00   -0.595   1.3386
 -50.00   -0.710   1.0370
 -40.00   -0.769   0.7172
 -30.00   -0.786   0.4173
 -20.00   -0.816   0.1732
 -10.00   -0.797   0.0241
  -6.00   -0.184   0.0117
  -5.00   -0.072   0.0104
  -4.00    0.041   0.0090
  -3.00    0.135   0.0080
  -2.00    0.243   0.0081
  -1.00    0.352   0.0082
   0.00    0.461   0.0082
   1.00    0.568   0.0084
   2.00    0.674   0.0085
   3.00    0.781   0.0086
   4.00    0.887   0.0089
   5.00    0.992   0.0092
   6.00    1.097   0.0095
   7.00    1.177   0.0126
   8.00    1.272   0.0139
   9.00    1.364   0.0149
  10.00    1.363   0.0248
  11.00    1.402   0.0332
  12.00    1.429   0.0414
  13.00    1.396   0.0579
  20.00    1.165   0.1732
  30.00    1.123   0.4173
  40.00    1.098   0.7172
  50.00    1.014   1.0370
  60.00    0.850   1.3386
  70.00    0.611   1.5862
  80.00    0.317   1.7505
  90.00    0.000   1.8123
 100.00   -0.222   1.7505
 110.00   -0.427   1.5862
 120.00   -0.595   1.3386
 130.00   -0.710   1.0370
 140.00   -0.769   0.7172
 150.00   -0.786   0.4173
 160.00   -0.816   0.1732
 170.00   -0.897   0.0140
 180.00    0.000   0.0100
EOT
   3.0      Reynolds numbers in millions
   0.0      Control setting
  12.00     Stall angle (deg)
  -4.5777   Zero Cn angle of attack (deg)
   5.7151   Cn slope for zero lift (dimensionless)
   1.6536   Cn extrapolated to value at positive stall angle of attack
  -0.7962   Cn at stall value for negative angle of attack
  -2.00     Angle of attack for minimum CD (deg)
   0.0077   Minimum CD value
-180.00    0.000   0.0100
-170.00    0.907   0.0129
-160.00    0.822   0.1722
-150.00    0.790   0.4164
-140.00    0.771   0.7163
-130.00    0.711   1.0363
-120.00    0.596   1.3380
-110.00    0.428   1.5858
-100.00    0.222   1.7503
 -90.00    0.000   1.8123
 -80.00   -0.222   1.7503
 -70.00   -0.428   1.5858
 -60.00   -0.596   1.3380
 -50.00   -0.711   1.0363
 -40.00   -0.771   0.7163
 -30.00   -0.790   0.4164
 -20.00   -0.822   0.1722
 -10.00   -0.804   0.0233
  -6.00   -0.183   0.0114
  -5.00   -0.070   0.0101
  -4.00    0.043   0.0088
  -3.00    0.136   0.0077
  -2.00    0.245   0.0077
  -1.00    0.353   0.0078
   0.00    0.462   0.0078
   1.00    0.570   0.0080
   2.00    0.677   0.0081
   3.00    0.783   0.0082
   4.00    0.889   0.0085
   5.00    0.995   0.0088
   6.00    1.100   0.0091
   7.00    1.180   0.0121
   8.00    1.275   0.0134
   9.00    1.349   0.0177
  10.00    1.370   0.0239
  11.00    1.411   0.0322
  12.00    1.445   0.0403
  13.00    1.411   0.0568
  20.00    1.174   0.1722
  30.00    1.128   0.4164
  40.00    1.102   0.7163
  50.00    1.016   1.0363
  60.00    0.851   1.3380
  70.00    0.611   1.5858
  80.00    0.317   1.7503
  90.00    0.000   1.8123
 100.00   -0.222   1.7503
 110.00   -0.428   1.5858
 120.00   -0.596   1.3380
 130.00   -0.711   1.0363
 140.00   -0.771   0.7163
 150.00   -0.790   0.4164
 160.00   -0.822   0.1722
 170.00   -0.907   0.0129
 180.00    0.000   0.0100
EOT
   4.0      Reynolds numbers in millions
   0.0      Control setting
  13.00     Stall angle (deg)
  -4.6096   Zero Cn angle of attack (deg)
   5.6841   Cn slope for zero lift (dimensionless)
   1.7470   Cn extrapolated to value at positive stall angle of attack
  -0.7918   Cn at stall value for negative angle of attack
  -3.00     Angle of attack for minimum CD (deg)
   0.0075   Minimum CD value
-180.00    0.000   0.0100
-170.00    0.925   0.0136
-160.00    0.877   0.1618
-150.00    0.822   0.4068
-140.00    0.791   0.7079
-130.00    0.723   1.0291
-120.00    0.602   1.3325
-110.00    0.430   1.5820
-100.00    0.223   1.7483
 -90.00    0.000   1.8123
 -80.00   -0.223   1.7483
 -70.00   -0.430   1.5820
 -60.00   -0.602   1.3325
 -50.00   -0.723   1.0291
 -40.00   -0.791   0.7079
 -30.00   -0.822   0.4068
 -20.00   -0.877   0.1618
 -10.00   -0.801   0.0188
  -6.00   -0.198   0.0098
  -5.00   -0.078   0.0092
  -4.00    0.043   0.0085
  -3.00    0.137   0.0075
