AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
2*Circle+1*S818 - Generated by M. Buhl.
Data came from Eppler data that was extended and blended by AirfoilPrep.
   5        Number of airfoil tables in this file
   0.4      Reynolds numbers in millions
   0.0      Control setting
  11.00     Stall angle (deg)
  -4.4183   Zero Cn angle of attack (deg)
   2.3675   Cn slope for zero lift (dimensionless)
   0.6371   Cn extrapolated to value at positive stall angle of attack
  -0.3638   Cn at stall value for negative angle of attack
  -6.00     Angle of attack for minimum CD (deg)
   0.3631   Minimum CD value
-180.00    0.000   0.3468
-170.00    0.341   0.3650
-160.00    0.286   0.4174
-150.00    0.269   0.4978
-140.00    0.259   0.5965
-130.00    0.237   0.7018
-120.00    0.198   0.8011
-110.00    0.142   0.8826
-100.00    0.073   0.9366
 -90.00    0.000   0.9569
 -80.00   -0.073   0.9366
 -70.00   -0.142   0.8826
 -60.00   -0.198   0.8011
 -50.00   -0.237   0.7018
 -40.00   -0.259   0.5965
 -30.00   -0.269   0.4978
 -20.00   -0.286   0.4174
 -10.00   -0.305   0.3676
  -6.00   -0.031   0.3631
  -5.00    0.005   0.3631
  -4.00    0.041   0.3632
  -3.00    0.077   0.3632
  -2.00    0.112   0.3633
  -1.00    0.148   0.3633
   0.00    0.184   0.3634
   1.00    0.219   0.3634
   2.00    0.255   0.3635
   3.00    0.290   0.3636
   4.00    0.326   0.3637
   5.00    0.361   0.3638
   6.00    0.396   0.3639
   7.00    0.430   0.3641
   8.00    0.465   0.3643
   9.00    0.499   0.3645
  10.00    0.513   0.3678
  11.00    0.536   0.3687
  12.00    0.409   0.4174
  13.00    0.407   0.4219
  20.00    0.397   0.4576
  30.00    0.384   0.4978
  40.00    0.371   0.5965
  50.00    0.339   0.7018
  60.00    0.283   0.8011
  70.00    0.202   0.8826
  80.00    0.105   0.9366
  90.00    0.000   0.9569
 100.00   -0.073   0.9366
 110.00   -0.142   0.8826
 120.00   -0.198   0.8011
 130.00   -0.237   0.7018
 140.00   -0.259   0.5965
 150.00   -0.269   0.4978
 160.00   -0.286   0.4174
 170.00   -0.341   0.3650
 180.00    0.000   0.3468
EOT
   0.5      Reynolds numbers in millions
   0.0      Control setting
  11.00     Stall angle (deg)
  -3.5027   Zero Cn angle of attack (deg)
   0.9954   Cn slope for zero lift (dimensionless)
   0.2519   Cn extrapolated to value at positive stall angle of attack
  -0.1571   Cn at stall value for negative angle of attack
  -6.00     Angle of attack for minimum CD (deg)
   0.3277   Minimum CD value
-180.00    0.000   0.3223
-170.00    0.114   0.3283
-160.00    0.095   0.3458
-150.00    0.090   0.3726
-140.00    0.086   0.4055
-130.00    0.079   0.4406
-120.00    0.066   0.4737
-110.00    0.047   0.5009
-100.00    0.024   0.5189
 -90.00    0.000   0.5256
 -80.00   -0.024   0.5189
 -70.00   -0.047   0.5009
 -60.00   -0.066   0.4737
 -50.00   -0.079   0.4406
 -40.00   -0.086   0.4055
 -30.00   -0.090   0.3726
 -20.00   -0.095   0.3458
 -10.00   -0.102   0.3292
  -6.00   -0.010   0.3277
  -5.00    0.002   0.3277
  -4.00    0.014   0.3277
  -3.00    0.026   0.3277
  -2.00    0.037   0.3278
  -1.00    0.049   0.3278
   0.00    0.061   0.3278
   1.00    0.073   0.3278
   2.00    0.085   0.3278
   3.00    0.097   0.3279
   4.00    0.109   0.3279
   5.00    0.120   0.3279
   6.00    0.132   0.3280
   7.00    0.143   0.3280
   8.00    0.155   0.3281
   9.00    0.166   0.3282
  10.00    0.171   0.3293
  11.00    0.179   0.3296
  12.00    0.136   0.3458
  13.00    0.136   0.3473
