AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
1*Circle+2*S818 - Generated by M. Buhl.
Data came from Eppler data that was extended and blended by AirfoilPrep.
   5        Number of airfoil tables in this file
   0.5      Reynolds numbers in millions
   0.0      Control setting
  11.00     Stall angle (deg)
  -4.1473   Zero Cn angle of attack (deg)
   1.6815   Cn slope for zero lift (dimensionless)
   0.4445   Cn extrapolated to value at positive stall angle of attack
  -0.2604   Cn at stall value for negative angle of attack
  -6.00     Angle of attack for minimum CD (deg)
   0.3454   Minimum CD value
-180.00    0.000   0.3345
-170.00    0.227   0.3466
-160.00    0.191   0.3816
-150.00    0.179   0.4352
-140.00    0.173   0.5010
-130.00    0.158   0.5712
-120.00    0.132   0.6374
-110.00    0.094   0.6917
-100.00    0.049   0.7278
 -90.00    0.000   0.7413
 -80.00   -0.049   0.7278
 -70.00   -0.094   0.6917
 -60.00   -0.132   0.6374
 -50.00   -0.158   0.5712
 -40.00   -0.173   0.5010
 -30.00   -0.179   0.4352
 -20.00   -0.191   0.3816
 -10.00   -0.203   0.3484
  -6.00   -0.021   0.3454
  -5.00    0.003   0.3454
  -4.00    0.027   0.3454
  -3.00    0.051   0.3455
  -2.00    0.075   0.3455
  -1.00    0.099   0.3455
   0.00    0.123   0.3456
   1.00    0.146   0.3456
   2.00    0.170   0.3457
   3.00    0.194   0.3457
   4.00    0.217   0.3458
   5.00    0.240   0.3459
   6.00    0.264   0.3460
   7.00    0.287   0.3461
   8.00    0.310   0.3462
   9.00    0.332   0.3464
  10.00    0.342   0.3486
  11.00    0.357   0.3492
  12.00    0.272   0.3816
  13.00    0.272   0.3846
  20.00    0.264   0.4084
  30.00    0.256   0.4352
  40.00    0.247   0.5010
  50.00    0.226   0.5712
  60.00    0.188   0.6374
  70.00    0.135   0.6917
  80.00    0.070   0.7278
  90.00    0.000   0.7413
 100.00   -0.049   0.7278
 110.00   -0.094   0.6917
 120.00   -0.132   0.6374
 130.00   -0.158   0.5712
 140.00   -0.173   0.5010
 150.00   -0.179   0.4352
 160.00   -0.191   0.3816
 170.00   -0.227   0.3466
 180.00    0.000   0.3345
EOT
   1.0      Reynolds numbers in millions
   0.0      Control setting
  11.00     Stall angle (deg)
  -4.0906   Zero Cn angle of attack (deg)
   1.7047   Cn slope for zero lift (dimensionless)
   0.4490   Cn extrapolated to value at positive stall angle of attack
  -0.2645   Cn at stall value for negative angle of attack
  -6.00     Angle of attack for minimum CD (deg)
   0.3687   Minimum CD value
-180.00    0.000   0.3578
-170.00    0.227   0.3700
-160.00    0.191   0.4049
-150.00    0.179   0.4585
-140.00    0.173   0.5243
-130.00    0.158   0.5945
-120.00    0.132   0.6607
-110.00    0.094   0.7151
-100.00    0.049   0.7511
 -90.00    0.000   0.7646
 -80.00   -0.049   0.7511
 -70.00   -0.094   0.7151
 -60.00   -0.132   0.6607
 -50.00   -0.158   0.5945
 -40.00   -0.173   0.5243
 -30.00   -0.179   0.4585
 -20.00   -0.191   0.4049
 -10.00   -0.203   0.3717
  -6.00   -0.021   0.3687
  -5.00    0.003   0.3687
  -4.00    0.027   0.3688
  -3.00    0.051   0.3688
  -2.00    0.075   0.3688
  -1.00    0.099   0.3689
   0.00    0.123   0.3689
   1.00    0.146   0.3689
   2.00    0.170   0.3690
   3.00    0.194   0.3690
   4.00    0.217   0.3691
   5.00    0.240   0.3692
   6.00    0.264   0.3693
   7.00    0.287   0.3694
   8.00    0.310   0.3696
   9.00    0.332   0.3697
