AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
S818 - Generated by M. Buhl.
Data came from Eppler data that was extended and blended by AirfoilPrep.
   5        Number of airfoil tables in this file
   1.5      Reynolds numbers in millions
   0.0      Control setting
  11.00     Stall angle (deg)
  -5.2087   Zero Cn angle of attack (deg)
   6.0251   Cn slope for zero lift (dimensionless)
   1.7045   Cn extrapolated to value at positive stall angle of attack
  -0.9037   Cn at stall value for negative angle of attack
  -6.00     Angle of attack for minimum CD (deg)
   0.0092   Minimum CD value
-180.00    0.000   0.0100
-170.00    1.023   0.0149
-160.00    0.858   0.1722
-150.00    0.807   0.4133
-140.00    0.778   0.7095
-130.00    0.712   1.0254
-120.00    0.594   1.3233
-110.00    0.425   1.5678
-100.00    0.220   1.7299
 -90.00    0.000   1.7908
 -80.00   -0.220   1.7299
 -70.00   -0.425   1.5678
 -60.00   -0.594   1.3233
 -50.00   -0.712   1.0254
 -40.00   -0.778   0.7095
 -30.00   -0.807   0.4133
 -20.00   -0.858   0.1722
 -10.00   -0.914   0.0228
  -6.00   -0.094   0.0092
  -5.00    0.014   0.0093
  -4.00    0.122   0.0095
  -3.00    0.230   0.0096
  -2.00    0.337   0.0098
  -1.00    0.445   0.0099
   0.00    0.552   0.0101
   1.00    0.658   0.0102
   2.00    0.765   0.0105
   3.00    0.871   0.0107
   4.00    0.977   0.0110
   5.00    1.082   0.0114
   6.00    1.187   0.0118
   7.00    1.291   0.0124
   8.00    1.394   0.0130
   9.00    1.496   0.0136
  10.00    1.539   0.0235
  11.00    1.608   0.0262
  12.00    1.566   0.0424
  13.00    1.523   0.0586
  20.00    1.226   0.1722
  30.00    1.153   0.4133
  40.00    1.112   0.7095
  50.00    1.018   1.0254
  60.00    0.848   1.3233
  70.00    0.607   1.5678
  80.00    0.314   1.7299
  90.00    0.000   1.7908
 100.00   -0.220   1.7299
 110.00   -0.425   1.5678
 120.00   -0.594   1.3233
 130.00   -0.712   1.0254
 140.00   -0.778   0.7095
 150.00   -0.807   0.4133
 160.00   -0.858   0.1722
 170.00   -1.023   0.0149
 180.00    0.000   0.0100
EOT
   2.0      Reynolds numbers in millions
   0.0      Control setting
  12.00     Stall angle (deg)
  -5.2960   Zero Cn angle of attack (deg)
   5.9409   Cn slope for zero lift (dimensionless)
   1.7934   Cn extrapolated to value at positive stall angle of attack
  -0.7994   Cn at stall value for negative angle of attack
  -6.00     Angle of attack for minimum CD (deg)
   0.0089   Minimum CD value
-180.00    0.000   0.0100
-170.00    0.983   0.0034
-160.00    0.922   0.1612
-150.00    0.844   0.4033
-140.00    0.801   0.7006
-130.00    0.726   1.0179
-120.00    0.601   1.3175
-110.00    0.428   1.5638
-100.00    0.221   1.7279
 -90.00    0.000   1.7908
 -80.00   -0.221   1.7279
 -70.00   -0.428   1.5638
 -60.00   -0.601   1.3175
 -50.00   -0.726   1.0179
 -40.00   -0.801   0.7006
 -30.00   -0.844   0.4033
 -20.00   -0.922   0.1612
 -10.00   -0.808   0.0211
  -6.00   -0.093   0.0089
  -5.00    0.015   0.0090
  -4.00    0.123   0.0090
  -3.00    0.231   0.0091
  -2.00    0.339   0.0093
  -1.00    0.446   0.0094
   0.00    0.554   0.0095
   1.00    0.661   0.0097
   2.00    0.767   0.0099
   3.00    0.874   0.0101
   4.00    0.980   0.0104
   5.00    1.085   0.0108
   6.00    1.190   0.0112
   7.00    1.294   0.0117
   8.00    1.398   0.0123
   9.00    1.500   0.0129
  10.00    1.547   0.0223
  11.00    1.627   0.0249
  12.00    1.685   0.0272
  13.00    1.639   0.0440
  20.00    1.317   0.1612
  30.00    1.206   0.4033
  40.00    1.144   0.7006
  50.00    1.037   1.0179
  60.00    0.858   1.3175
  70.00    0.611   1.5638
  80.00    0.315   1.7279
  90.00    0.000   1.7908
 100.00   -0.221   1.7279
 110.00   -0.428   1.5638
 120.00   -0.601   1.3175
 130.00   -0.726   1.0179
 140.00   -0.801   0.7006
 150.00   -0.844   0.4033
 160.00   -0.922   0.1612
 170.00   -0.983   0.0034
 180.00    0.000   0.0100
EOT
   2.5      Reynolds numbers in millions
   0.0      Control setting
  12.00     Stall angle (deg)
  -5.2960   Zero Cn angle of attack (deg)
   5.9409   Cn slope for zero lift (dimensionless)
   1.7934   Cn extrapolated to value at positive stall angle of attack
  -0.7994   Cn at stall value for negative angle of attack
  -6.00     Angle of attack for minimum CD (deg)
   0.0089   Minimum CD value
-180.00    0.000   0.0100
-170.00    0.983   0.0034
-160.00    0.922   0.1612
-150.00    0.844   0.4033
-140.00    0.801   0.7006
-130.00    0.726   1.0179
-120.00    0.601   1.3175
-110.00    0.428   1.5638
-100.00    0.221   1.7279
 -90.00    0.000   1.7908
 -80.00   -0.221   1.7279
 -70.00   -0.428   1.5638
 -60.00   -0.601   1.3175
 -50.00   -0.726   1.0179
 -40.00   -0.801   0.7006
 -30.00   -0.844   0.4033
 -20.00   -0.922   0.1612
 -10.00   -0.808   0.0211
  -6.00   -0.093   0.0089
  -5.00    0.015   0.0090
  -4.00    0.123   0.0090
  -3.00    0.231   0.0091
  -2.00    0.339   0.0093
  -1.00    0.446   0.0094
   0.00    0.554   0.0095
   1.00    0.661   0.0097
   2.00    0.767   0.0099
   3.00    0.874   0.0101
   4.00    0.980   0.0104
   5.00    1.085   0.0108
   6.00    1.190   0.0112
   7.00    1.294   0.0117
   8.00    1.398   0.0123
   9.00    1.500   0.0129
  10.00    1.547   0.0223
  11.00    1.627   0.0249
  12.00    1.685   0.0272
  13.00    1.639   0.0440
  20.00    1.317   0.1612
  30.00    1.206   0.4033
  40.00    1.144   0.7006
  50.00    1.037   1.0179
  60.00    0.858   1.3175
  70.00    0.611   1.5638
  80.00    0.315   1.7279
  90.00    0.000   1.7908
 100.00   -0.221   1.7279
 110.00   -0.428   1.5638
 120.00   -0.601   1.3175
 130.00   -0.726   1.0179
 140.00   -0.801   0.7006
 150.00   -0.844   0.4033
 160.00   -0.922   0.1612
 170.00   -0.983   0.0034
 180.00    0.000   0.0100
EOT
   3.0      Reynolds numbers in millions
   0.0      Control setting
  12.00     Stall angle (deg)
  -5.3393   Zero Cn angle of attack (deg)
   5.9237   Cn slope for zero lift (dimensionless)
   1.7927   Cn extrapolated to value at positive stall angle of attack
  -0.8114   Cn at stall value for negative angle of attack
  -6.00     Angle of attack for minimum CD (deg)
   0.0084   Minimum CD value
-180.00    0.000   0.0100
-170.00    0.999   0.0015
-160.00    0.933   0.1594
-150.00    0.851   0.4016
-140.00    0.805   0.6991
-130.00    0.728   1.0167
-120.00    0.602   1.3165
-110.00    0.428   1.5631
-100.00    0.221   1.7276
 -90.00    0.000   1.7908
 -80.00   -0.221   1.7276
 -70.00   -0.428   1.5631
 -60.00   -0.602   1.3165
 -50.00   -0.728   1.0167
 -40.00   -0.805   0.6991
 -30.00   -0.851   0.4016
 -20.00   -0.933   0.1594
 -10.00   -0.820   0.0197
  -6.00   -0.090   0.0084
  -5.00    0.018   0.0085
  -4.00    0.126   0.0085
  -3.00    0.234   0.0086
  -2.00    0.342   0.0086
  -1.00    0.449   0.0087
   0.00    0.557   0.0088
   1.00    0.664   0.0090
   2.00    0.771   0.0092
   3.00    0.877   0.0094
   4.00    0.983   0.0097
   5.00    1.089   0.0101
   6.00    1.194   0.0105
   7.00    1.299   0.0109
   8.00    1.403   0.0114
   9.00    1.474   0.0178
  10.00    1.558   0.0207
  11.00    1.642   0.0231
  12.00    1.713   0.0253
  13.00    1.665   0.0421
  20.00    1.332   0.1594
  30.00    1.215   0.4016
  40.00    1.149   0.6991
  50.00    1.040   1.0167
  60.00    0.860   1.3165
  70.00    0.612   1.5631
  80.00    0.315   1.7276
  90.00    0.000   1.7908
 100.00   -0.221   1.7276
 110.00   -0.428   1.5631
 120.00   -0.602   1.3165
 130.00   -0.728   1.0167
 140.00   -0.805   0.6991
 150.00   -0.851   0.4016
 160.00   -0.933   0.1594
 170.00   -0.999   0.0015
 180.00    0.000   0.0100
EOT
   3.5      Reynolds numbers in millions
   0.0      Control setting
  13.00     Stall angle (deg)
  -5.4198   Zero Cn angle of attack (deg)
   5.8480   Cn slope for zero lift (dimensionless)
   1.8800   Cn extrapolated to value at positive stall angle of attack
  -0.7271   Cn at stall value for negative angle of attack
  -6.00     Angle of attack for minimum CD (deg)
   0.0082   Minimum CD value
-180.00    0.000   0.0100
-170.00    0.953   0.0100
-160.00    0.993   0.1481
-150.00    0.886   0.3912
-140.00    0.826   0.6899
-130.00    0.740   1.0089
-120.00    0.609   1.3105
-110.00    0.431   1.5590
-100.00    0.221   1.7255
 -90.00    0.000   1.7908
 -80.00   -0.221   1.7255
 -70.00   -0.431   1.5590
 -60.00   -0.609   1.3105
 -50.00   -0.740   1.0089
 -40.00   -0.826   0.6899
 -30.00   -0.886   0.3912
 -20.00   -0.993   0.1481
 -10.00   -0.735   0.0189
  -6.00   -0.090   0.0082
  -5.00    0.019   0.0083
  -4.00    0.127   0.0083
  -3.00    0.235   0.0084
  -2.00    0.343   0.0084
  -1.00    0.450   0.0085
   0.00    0.558   0.0086
   1.00    0.665   0.0088
   2.00    0.772   0.0090
   3.00    0.879   0.0092
   4.00    0.985   0.0095
   5.00    1.090   0.0099
   6.00    1.196   0.0102
   7.00    1.300   0.0106
   8.00    1.404   0.0111
   9.00    1.475   0.0176
  10.00    1.562   0.0202
  11.00    1.646   0.0225
  12.00    1.724   0.0246
  13.00    1.770   0.0270
  20.00    1.418   0.1481
  30.00    1.265   0.3912
  40.00    1.180   0.6899
  50.00    1.058   1.0089
  60.00    0.870   1.3105
  70.00    0.616   1.5590
  80.00    0.316   1.7255
  90.00    0.000   1.7908
 100.00   -0.221   1.7255
 110.00   -0.431   1.5590
 120.00   -0.609   1.3105
 130.00   -0.740   1.0089
 140.00   -0.826   0.6899
 150.00   -0.886   0.3912
 160.00   -0.993   0.1481
 170.00   -0.953   0.0100
 180.00    0.000   0.0100
EOT
