AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
1*S818 + 6*S816 - Generated by M. Buhl.
Data came from Eppler data that was extended and blended by AirfoilPrep.
   5        Number of airfoil tables in this file
   1.0      Reynolds numbers in millions
   0.0      Control setting
   9.00     Stall angle (deg)
  -3.5082   Zero Cn angle of attack (deg)
   5.9590   Cn slope for zero lift (dimensionless)
   1.3009   Cn extrapolated to value at positive stall angle of attack
  -0.7943   Cn at stall value for negative angle of attack
  -2.00     Angle of attack for minimum CD (deg)
   0.0070   Minimum CD value
-180.00    0.000   0.0100
-170.00    0.817   0.0262
-160.00    0.701   0.1868
-150.00    0.723   0.4329
-140.00    0.734   0.7350
-130.00    0.692   1.0571
-120.00    0.588   1.3605
-110.00    0.426   1.6091
-100.00    0.223   1.7733
 -90.00    0.000   1.8337
 -80.00   -0.223   1.7733
 -70.00   -0.426   1.6091
 -60.00   -0.588   1.3605
 -50.00   -0.692   1.0571
 -40.00   -0.734   0.7350
 -30.00   -0.723   0.4329
 -20.00   -0.701   0.1868
 -10.00   -0.802   0.0274
  -6.00   -0.276   0.0146
  -5.00   -0.158   0.0118
  -4.00   -0.041   0.0092
  -3.00    0.038   0.0070
  -2.00    0.148   0.0070
  -1.00    0.257   0.0070
   0.00    0.367   0.0070
   1.00    0.475   0.0071
   2.00    0.582   0.0072
   3.00    0.688   0.0073
   4.00    0.794   0.0075
   5.00    0.899   0.0076
   6.00    1.004   0.0079
   7.00    1.060   0.0136
   8.00    1.146   0.0156
   9.00    1.227   0.0170
  10.00    1.179   0.0275
  11.00    1.175   0.0417
  12.00    1.156   0.0578
  13.00    1.136   0.0739
  20.00    1.001   0.1868
  30.00    1.033   0.4329
  40.00    1.048   0.7350
  50.00    0.989   1.0571
  60.00    0.840   1.3605
  70.00    0.609   1.6091
  80.00    0.318   1.7733
  90.00    0.000   1.8337
 100.00   -0.223   1.7733
 110.00   -0.426   1.6091
 120.00   -0.588   1.3605
 130.00   -0.692   1.0571
 140.00   -0.734   0.7350
 150.00   -0.723   0.4329
 160.00   -0.701   0.1868
 170.00   -0.817   0.0262
 180.00    0.000   0.0100
EOT
   2.0      Reynolds numbers in millions
   0.0      Control setting
   9.00     Stall angle (deg)
  -3.5099   Zero Cn angle of attack (deg)
   5.9606   Cn slope for zero lift (dimensionless)
   1.3014   Cn extrapolated to value at positive stall angle of attack
  -0.7794   Cn at stall value for negative angle of attack
  -2.00     Angle of attack for minimum CD (deg)
   0.0069   Minimum CD value
-180.00    0.000   0.0100
-170.00    0.812   0.0246
-160.00    0.710   0.1852
-150.00    0.728   0.4314
-140.00    0.737   0.7338
-130.00    0.694   1.0560
-120.00    0.589   1.3597
-110.00    0.427   1.6085
-100.00    0.223   1.7730
 -90.00    0.000   1.8337
