AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
1*S818 + 6*S816 - Generated by M. Buhl.
Data came from Eppler data that was extended and blended by AirfoilPrep.
   5        Number of airfoil tables in this file
   3.0      Reynolds numbers in millions
   0.0      Control setting
   9.00     Stall angle (deg)
  -3.1956   Zero Cn angle of attack (deg)
   5.9640   Cn slope for zero lift (dimensionless)
   1.2695   Cn extrapolated to value at positive stall angle of attack
  -0.7761   Cn at stall value for negative angle of attack
  -2.00     Angle of attack for minimum CD (deg)
   0.0065   Minimum CD value
-180.00    0.000   0.0100
-170.00    0.783   0.0281
-160.00    0.674   0.1892
-150.00    0.709   0.4361
-140.00    0.726   0.7393
-130.00    0.689   1.0624
-120.00    0.587   1.3667
-110.00    0.427   1.6160
-100.00    0.223   1.7805
 -90.00    0.000   1.8408
 -80.00   -0.223   1.7805
 -70.00   -0.427   1.6160
 -60.00   -0.587   1.3667
 -50.00   -0.689   1.0624
 -40.00   -0.726   0.7393
 -30.00   -0.709   0.4361
 -20.00   -0.674   0.1892
 -10.00   -0.783   0.0281
  -4.00   -0.068   0.0091
  -3.00    0.006   0.0066
  -2.00    0.116   0.0065
  -1.00    0.226   0.0065
   0.00    0.336   0.0065
   1.00    0.444   0.0066
   2.00    0.551   0.0067
   3.00    0.658   0.0067
   4.00    0.764   0.0069
   5.00    0.869   0.0070
   6.00    0.974   0.0072
   7.00    1.021   0.0138
   8.00    1.105   0.0160
   9.00    1.182   0.0176
  10.00    1.119   0.0281
  20.00    0.963   0.1892
  30.00    1.013   0.4361
  40.00    1.038   0.7393
  50.00    0.984   1.0624
  60.00    0.839   1.3667
  70.00    0.610   1.6160
  80.00    0.319   1.7805
  90.00    0.000   1.8408
 100.00   -0.223   1.7805
 110.00   -0.427   1.6160
 120.00   -0.587   1.3667
 130.00   -0.689   1.0624
 140.00   -0.726   0.7393
 150.00   -0.709   0.4361
 160.00   -0.674   0.1892
 170.00   -0.783   0.0281
 180.00    0.000   0.0100
EOT
   3.5      Reynolds numbers in millions
   0.0      Control setting
   9.00     Stall angle (deg)
  -3.1927   Zero Cn angle of attack (deg)
   5.9793   Cn slope for zero lift (dimensionless)
   1.2724   Cn extrapolated to value at positive stall angle of attack
  -0.7809   Cn at stall value for negative angle of attack
  -1.00     Angle of attack for minimum CD (deg)
   0.0063   Minimum CD value
-180.00    0.000   0.0100
-170.00    0.788   0.0276
-160.00    0.677   0.1887
-150.00    0.710   0.4357
-140.00    0.727   0.7389
-130.00    0.689   1.0621
-120.00    0.587   1.3665
-110.00    0.427   1.6158
-100.00    0.223   1.7804
 -90.00    0.000   1.8408
 -80.00   -0.223   1.7804
 -70.00   -0.427   1.6158
 -60.00   -0.587   1.3665
 -50.00   -0.689   1.0621
 -40.00   -0.727   0.7389
