AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
2*S816 + 1*S817 - Generated by M. Buhl.
Data came from Eppler data that was extended and blended by AirfoilPrep.
   4        Number of airfoil tables in this file
   2.0      Reynolds numbers in millions
   0.0      Control setting
   7.00     Stall angle (deg)
  -3.2865   Zero Cn angle of attack (deg)
   6.1151   Cn slope for zero lift (dimensionless)
   1.0979   Cn extrapolated to value at positive stall angle of attack
  -0.6652   Cn at stall value for negative angle of attack
  -1.00     Angle of attack for minimum CD (deg)
   0.0056   Minimum CD value
-180.00    0.000   0.0100
-170.00    0.669   0.0391
-160.00    0.632   0.2053
-150.00    0.696   0.4600
-140.00    0.728   0.7726
-130.00    0.699   1.1057
-120.00    0.600   1.4191
-110.00    0.438   1.6754
-100.00    0.230   1.8439
 -90.00    0.000   1.9046
 -80.00   -0.230   1.8439
 -70.00   -0.438   1.6754
 -60.00   -0.600   1.4191
 -50.00   -0.699   1.1057
 -40.00   -0.728   0.7726
 -30.00   -0.696   0.4600
 -20.00   -0.632   0.2053
 -10.00   -0.669   0.0391
  -4.00   -0.067   0.0088
  -3.00    0.027   0.0077
  -2.00    0.135   0.0073
  -1.00    0.245   0.0056
   0.00    0.354   0.0056
   1.00    0.461   0.0057
   2.00    0.568   0.0058
   3.00    0.673   0.0059
   4.00    0.778   0.0061
   5.00    0.882   0.0063
   6.00    0.985   0.0065
   7.00    1.020   0.0145
   8.00    1.015   0.0218
   9.00    1.009   0.0290
  10.00    0.955   0.0391
  20.00    0.903   0.2053
  30.00    0.994   0.4600
  40.00    1.041   0.7726
  50.00    0.999   1.1057
  60.00    0.857   1.4191
  70.00    0.626   1.6754
  80.00    0.329   1.8439
  90.00    0.000   1.9046
 100.00   -0.230   1.8439
 110.00   -0.438   1.6754
 120.00   -0.600   1.4191
 130.00   -0.699   1.1057
 140.00   -0.728   0.7726
 150.00   -0.696   0.4600
 160.00   -0.632   0.2053
 170.00   -0.669   0.0391
 180.00    0.000   0.0100
EOT
   3.0      Reynolds numbers in millions
   0.0      Control setting
   8.00     Stall angle (deg)
  -3.3504   Zero Cn angle of attack (deg)
   6.0062   Cn slope for zero lift (dimensionless)
   1.1898   Cn extrapolated to value at positive stall angle of attack
  -0.7266   Cn at stall value for negative angle of attack
  -1.00     Angle of attack for minimum CD (deg)
   0.0053   Minimum CD value
-180.00    0.000   0.0100
-170.00    0.732   0.0335
-160.00    0.661   0.2000
-150.00    0.713   0.4551
-140.00    0.739   0.7683
-130.00    0.705   1.1020
-120.00    0.603   1.4163
-110.00    0.440   1.6735
-100.00    0.231   1.8429
 -90.00    0.000   1.9046
 -80.00   -0.231   1.8429
 -70.00   -0.440   1.6735
 -60.00   -0.603   1.4163
 -50.00   -0.705   1.1020
 -40.00   -0.739   0.7683
 -30.00   -0.713   0.4551
 -20.00   -0.661   0.2000
 -10.00   -0.732   0.0335
  -4.00   -0.070   0.0084
  -3.00    0.025   0.0073
  -2.00    0.135   0.0070
  -1.00    0.245   0.0053
   0.00    0.355   0.0053
   1.00    0.465   0.0054
   2.00    0.571   0.0055
   3.00    0.677   0.0056
   4.00    0.782   0.0058
   5.00    0.886   0.0060
   6.00    0.953   0.0105
   7.00    1.030   0.0138
   8.00    1.116   0.0155
   9.00    1.104   0.0230
  10.00    1.046   0.0335
  20.00    0.945   0.2000
  30.00    1.018   0.4551
  40.00    1.055   0.7683
  50.00    1.007   1.1020
  60.00    0.862   1.4163
  70.00    0.628   1.6735
  80.00    0.330   1.8429
  90.00    0.000   1.9046
 100.00   -0.231   1.8429
 110.00   -0.440   1.6735
 120.00   -0.603   1.4163
 130.00   -0.705   1.1020
 140.00   -0.739   0.7683
 150.00   -0.713   0.4551
 160.00   -0.661   0.2000
 170.00   -0.732   0.0335
 180.00    0.000   0.0100
EOT
   4.0      Reynolds numbers in millions
   0.0      Control setting
   9.00     Stall angle (deg)
  -3.4279   Zero Cn angle of attack (deg)
   5.8856   Cn slope for zero lift (dimensionless)
   1.2766   Cn extrapolated to value at positive stall angle of attack
  -0.8270   Cn at stall value for negative angle of attack
  -1.00     Angle of attack for minimum CD (deg)
   0.0051   Minimum CD value
-180.00    0.000   0.0100
-170.00    0.835   0.0242
-160.00    0.709   0.1910
-150.00    0.740   0.4469
-140.00    0.756   0.7610
-130.00    0.715   1.0959
-120.00    0.609   1.4115
-110.00    0.442   1.6702
-100.00    0.231   1.8413
 -90.00    0.000   1.9046
 -80.00   -0.231   1.8413
 -70.00   -0.442   1.6702
 -60.00   -0.609   1.4115
 -50.00   -0.715   1.0959
 -40.00   -0.756   0.7610
 -30.00   -0.740   0.4469
 -20.00   -0.709   0.1910
 -10.00   -0.835   0.0242
  -4.00   -0.073   0.0081
  -3.00    0.025   0.0070
  -2.00    0.135   0.0068
  -1.00    0.245   0.0051
